Фамилия,Имя,Факультет,Курс,Оценка
Чжоу,Мария,ФПМИ,Психология,75
Смит,Федор,РЭФ,История,85
Смит,Федор,РЭФ,Физика,50
Смит,Федор,РЭФ,Теор. Механика,24
Браун,Николай,ФПМИ,Физика,85
Браун,Николай,ФПМИ,Теор. Механика,48
Браун,Николай,ФПМИ,Информатика,51
Тан,Екатеринар,ФПМИ,Мат. Анализ,7
Тан,Екатеринар,ФПМИ,Психология,52
Ли,Иван,АВТФ,История,95
Ли,Иван,АВТФ,Физика,93
Ли,Иван,АВТФ,Мат. Анализ,46
Ли,Иван,АВТФ,Теор. Механика,98
Ким,Петр,АВТФ,Физика,18
Ким,Петр,АВТФ,Теор. Механика,16
Ким,Петр,АВТФ,История,62
Ким,Петр,АВТФ,Информатика,18
Райт,Вероника,АВТФ,Теор. Механика,22
Райт,Вероника,АВТФ,Информатика,8
Джонс,Андрей,АВТФ,Информатика,33
Чан,Алексей,ФТФ,Мат. Анализ,63
Чан,Алексей,ФТФ,Теор. Механика,62
Чан,Алексей,ФТФ,Информатика,68
Чан,Алексей,ФТФ,Физика,21
Ву,Дмитрий,ФЛА,Психология,85
Ву,Дмитрий,ФЛА,Физика,56
Ву,Дмитрий,ФЛА,История,28
Чжоу,Мария,АВТФ,Психология,47
Смит,Федор,ФЛА,Теор. Механика,22
Смит,Федор,ФЛА,Психология,9
Смит,Федор,ФЛА,История,68
Браун,Николай,АВТФ,Физика,95
Браун,Николай,АВТФ,История,0
Тан,Екатеринар,ФЛА,История,23
Ли,Иван,АВТФ,Мат. Анализ,50
Ли,Иван,АВТФ,История,42
Ким,Петр,ФЛА,История,43
Ким,Петр,ФЛА,Информатика,28
Ким,Петр,ФЛА,Мат. Анализ,12
Ким,Петр,ФЛА,Психология,11
Райт,Вероника,ФПМИ,Психология,89
Джонс,Андрей,ФЛА,Теор. Механика,6
Джонс,Андрей,ФЛА,Физика,67
Чан,Алексей,ФПМИ,Информатика,35
Ву,Дмитрий,ФТФ,Теор. Механика,72
Чжоу,Мария,РЭФ,Психология,95
Смит,Федор,ФЛА,Мат. Анализ,29
Смит,Федор,ФЛА,Информатика,16
Смит,Федор,ФЛА,История,61
Смит,Федор,ФЛА,Теор. Механика,83
Браун,Николай,ФТФ,Информатика,11
Браун,Николай,ФТФ,Мат. Анализ,60
Тан,Екатеринар,ФТФ,История,51
Тан,Екатеринар,ФТФ,Психология,82
Тан,Екатеринар,ФТФ,Мат. Анализ,15
Ли,Иван,ФЛА,Мат. Анализ,99
Ким,Петр,ФЛА,Информатика,38
Ким,Петр,ФЛА,Теор. Механика,13
Ким,Петр,ФЛА,Мат. Анализ,94
Райт,Вероника,ФПМИ,Физика,75
Джонс,Андрей,ФТФ,Теор. Механика,6
Джонс,Андрей,ФТФ,История,45
Чан,Алексей,ФЛА,Психология,65
Чан,Алексей,ФЛА,Информатика,4
Чан,Алексей,ФЛА,Теор. Механика,28
Чан,Алексей,ФЛА,История,36
Ву,Дмитрий,РЭФ,Информатика,70
Ву,Дмитрий,РЭФ,Теор. Механика,88
Ву,Дмитрий,РЭФ,История,44
Ву,Дмитрий,РЭФ,Мат. Анализ,3
Чжоу,Мария,АВТФ,Психология,90
Чжоу,Мария,АВТФ,История,73
Смит,Федор,ФПМИ,Психология,91
Смит,Федор,ФПМИ,Мат. Анализ,57
Смит,Федор,ФПМИ,Информатика,19
Браун,Николай,АВТФ,Мат. Анализ,76
Браун,Николай,АВТФ,Информатика,91
Браун,Николай,АВТФ,История,61
Браун,Николай,АВТФ,Теор. Механика,62
Тан,Екатеринар,АВТФ,Теор. Механика,57
Ли,Иван,АВТФ,Информатика,84
Ким,Петр,РЭФ,Физика,56
Ким,Петр,РЭФ,Мат. Анализ,17
Ким,Петр,РЭФ,История,46
Ким,Петр,РЭФ,Теор. Механика,48
Райт,Вероника,ФТФ,Мат. Анализ,74
Джонс,Андрей,АВТФ,Теор. Механика,91
Джонс,Андрей,АВТФ,Мат. Анализ,35
Чан,Алексей,ФПМИ,Психология,99
Чан,Алексей,ФПМИ,Теор. Механика,63
Чан,Алексей,ФПМИ,Физика,26
Чан,Алексей,ФПМИ,История,62
Ву,Дмитрий,ФТФ,Теор. Механика,28
Чжоу,Мария,ФЛА,История,68
Чжоу,Мария,ФЛА,Физика,46
Смит,Федор,ФТФ,Психология,32
Смит,Федор,ФТФ,Информатика,64
Браун,Николай,ФПМИ,Психология,88
Браун,Николай,ФПМИ,Информатика,85
Браун,Николай,ФПМИ,Мат. Анализ,58
Браун,Николай,ФПМИ,История,26
Тан,Екатеринар,ФТФ,Психология,0
Ли,Иван,ФЛА,Мат. Анализ,4
Ли,Иван,ФЛА,Теор. Механика,2
Ли,Иван,ФЛА,Психология,52
Ли,Иван,ФЛА,Физика,22
Ким,Петр,ФЛА,Информатика,84
Райт,Вероника,ФТФ,Психология,61
Райт,Вероника,ФТФ,Мат. Анализ,64
Джонс,Андрей,ФТФ,Физика,33
Джонс,Андрей,ФТФ,История,53
Джонс,Андрей,ФТФ,Психология,2
Джонс,Андрей,ФТФ,Теор. Механика,49
Чан,Алексей,АВТФ,Психология,56
Ву,Дмитрий,ФТФ,Теор. Механика,50
Ву,Дмитрий,ФТФ,Физика,37
Ву,Дмитрий,ФТФ,Информатика,63
Ву,Дмитрий,ФТФ,Мат. Анализ,97
Чжоу,Мария,ФПМИ,Физика,51
Чжоу,Мария,ФПМИ,История,37
Смит,Федор,ФТФ,Психология,28
Смит,Федор,ФТФ,История,3
Смит,Федор,ФТФ,Физика,9
Смит,Федор,ФТФ,Теор. Механика,55
Браун,Николай,ФТФ,Теор. Механика,5
Браун,Николай,ФТФ,Мат. Анализ,52
Тан,Екатеринар,ФПМИ,Мат. Анализ,22
